"","Name","Description","Rating","Ranking"
"21","Toradora!","
        TV (25 eps)
        Oct 2008 - Mar 2009
        2,047,180 members
      ","8.10","21"
"22","Shigatsu wa Kimi no Uso","
        TV (22 eps)
        Oct 2014 - Mar 2015
        2,018,852 members
      ","8.66","22"
"23","One Piece","
        TV (? eps)
        Oct 1999 - 
        2,016,945 members
      ","8.68","23"
"24","Noragami","
        TV (12 eps)
        Jan 2014 - Mar 2014
        2,003,398 members
      ","7.96","24"
"25","Re:Zero kara Hajimeru Isekai Seikatsu","
        TV (25 eps)
        Apr 2016 - Sep 2016
        2,002,861 members
      ","8.24","25"
"26","Boku no Hero Academia 3rd Season","
        TV (25 eps)
        Apr 2018 - Sep 2018
        1,985,544 members
      ","8.06","26"
"27","Shingeki no Kyojin Season 3 Part 2","
        TV (10 eps)
        Apr 2019 - Jul 2019
        1,967,694 members
      ","9.06","27"
"28","Angel Beats!","
        TV (13 eps)
        Apr 2010 - Jun 2010
        1,954,293 members
      ","8.07","28"
"29","Akame ga Kill!","
        TV (24 eps)
        Jul 2014 - Dec 2014
        1,917,975 members
      ","7.47","29"
"30","Boku dake ga Inai Machi","
        TV (12 eps)
        Jan 2016 - Mar 2016
        1,908,817 members
      ","8.31","30"
"31","Nanatsu no Taizai","
        TV (24 eps)
        Oct 2014 - Mar 2015
        1,903,281 members
      ","7.69","31"
"32","Mirai Nikki (TV)","
        TV (26 eps)
        Oct 2011 - Apr 2012
        1,887,878 members
      ","7.44","32"
"33","Mob Psycho 100","
        TV (12 eps)
        Jul 2016 - Sep 2016
        1,841,609 members
      ","8.49","33"
"34","Sword Art Online II","
        TV (24 eps)
        Jul 2014 - Dec 2014
        1,836,253 members
      ","6.70","34"
"35","Ansatsu Kyoushitsu","
        TV (22 eps)
        Jan 2015 - Jun 2015
        1,823,841 members
      ","8.09","35"
"36","Ao no Exorcist","
        TV (25 eps)
        Apr 2011 - Oct 2011
        1,794,853 members
      ","7.51","36"
"37","Haikyuu!!","
        TV (25 eps)
        Apr 2014 - Sep 2014
        1,781,834 members
      ","8.45","37"
"38","Yakusoku no Neverland","
        TV (12 eps)
        Jan 2019 - Mar 2019
        1,777,531 members
      ","8.53","38"
"39","Kono Subarashii Sekai ni Shukufuku wo!","
        TV (10 eps)
        Jan 2016 - Mar 2016
        1,773,260 members
      ","8.12","39"
"40","Bleach","
        TV (366 eps)
        Oct 2004 - Mar 2012
        1,750,525 members
      ","7.89","40"
"41","Shingeki no Kyojin: The Final Season","
        TV (16 eps)
        Dec 2020 - Mar 2021
        1,713,202 members
      ","8.81","41"
"42","Kiseijuu: Sei no Kakuritsu","
        TV (24 eps)
        Oct 2014 - Mar 2015
        1,703,551 members
      ","8.34","42"
"43","Cowboy Bebop","
        TV (26 eps)
        Apr 1998 - Apr 1999
        1,691,496 members
      ","8.75","43"
"44","Sen to Chihiro no Kamikakushi","
        Movie (1 eps)
        Jul 2001 - Jul 2001
        1,683,465 members
      ","8.78","44"
"45","Tokyo Ghoul √A","
        TV (12 eps)
        Jan 2015 - Mar 2015
        1,644,897 members
      ","7.03","45"
"46","Neon Genesis Evangelion","
        TV (26 eps)
        Oct 1995 - Mar 1996
        1,635,274 members
      ","8.34","46"
"47","Code Geass: Hangyaku no Lelouch R2","
        TV (25 eps)
        Apr 2008 - Sep 2008
        1,633,122 members
      ","8.91","47"
"48","Fairy Tail","
        TV (175 eps)
        Oct 2009 - Mar 2013
        1,629,123 members
      ","7.58","48"
"49","Death Parade","
        TV (12 eps)
        Jan 2015 - Mar 2015
        1,619,578 members
      ","8.16","49"
"50","Kill la Kill","
        TV (24 eps)
        Oct 2013 - Mar 2014
        1,604,444 members
      ","8.04","50"
